epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7259.3,0.88974,0.69637,0.96787,0.84926,0.78899,0.8708,0.68195,0.84034,0.67598,0.9584,0.000742625,0.000742625,0.000742625
43,7413.42,0.8766,0.69075,0.96653,0.84786,0.79156,0.86651,0.6709,0.85324,0.68719,0.96219,0.00073025,0.00073025,0.00073025
44,7568.09,0.87802,0.69311,0.96763,0.85243,0.79877,0.87472,0.68428,0.83382,0.67192,0.96181,0.000717875,0.000717875,0.000717875
45,7723.7,0.87033,0.6874,0.96391,0.85084,0.79046,0.86905,0.67804,0.86144,0.68431,0.97295,0.0007055,0.0007055,0.0007055
46,7879.17,0.86829,0.68062,0.96194,0.86112,0.7935,0.87181,0.68024,0.8381,0.66014,0.96067,0.000693125,0.000693125,0.000693125
47,8035.08,0.87674,0.67975,0.96543,0.84274,0.78931,0.871,0.68406,0.84774,0.67286,0.96359,0.00068075,0.00068075,0.00068075
48,8190.63,0.87199,0.68178,0.96692,0.85016,0.7961,0.86831,0.68071,0.84728,0.67419,0.96427,0.000668375,0.000668375,0.000668375
49,8346.3,0.86584,0.6685,0.95993,0.84508,0.78621,0.86848,0.678,0.83671,0.68237,0.96223,0.000656,0.000656,0.000656
50,8501.78,0.86508,0.6707,0.96193,0.86996,0.79011,0.87771,0.68683,0.84106,0.65471,0.96021,0.000643625,0.000643625,0.000643625
51,8656.67,0.86239,0.66086,0.95631,0.86433,0.78706,0.87238,0.68107,0.84352,0.6745,0.96029,0.00063125,0.00063125,0.00063125
52,8809.91,0.85698,0.66329,0.95907,0.8695,0.79159,0.87048,0.67564,0.84982,0.67669,0.97071,0.000618875,0.000618875,0.000618875
53,8960.94,0.85491,0.66132,0.96028,0.88142,0.78283,0.87588,0.68431,0.83586,0.66846,0.95492,0.0006065,0.0006065,0.0006065
54,9113.53,0.84662,0.65667,0.95542,0.8501,0.80628,0.87852,0.68299,0.82666,0.663,0.9566,0.000594125,0.000594125,0.000594125
55,9266.3,0.84902,0.6499,0.95179,0.85687,0.80426,0.87303,0.68265,0.83891,0.66769,0.95799,0.00058175,0.00058175,0.00058175
56,9419.23,0.85039,0.65216,0.95304,0.86428,0.79932,0.87989,0.68777,0.82354,0.64401,0.95554,0.000569375,0.000569375,0.000569375
57,9573.02,0.84288,0.64144,0.95083,0.85705,0.80618,0.87428,0.68267,0.83387,0.66132,0.96013,0.000557,0.000557,0.000557
58,9731.8,0.84707,0.64582,0.95156,0.86584,0.80881,0.87521,0.68489,0.8317,0.6535,0.95835,0.000544625,0.000544625,0.000544625
59,9889.15,0.83777,0.63468,0.94819,0.85627,0.80976,0.87997,0.69073,0.82171,0.64072,0.94887,0.00053225,0.00053225,0.00053225
60,10043.5,0.83584,0.6385,0.94948,0.86942,0.79703,0.87832,0.69048,0.82531,0.65062,0.95237,0.000519875,0.000519875,0.000519875
61,10199.6,0.83407,0.63283,0.94974,0.8709,0.80307,0.87786,0.69034,0.83009,0.64045,0.95785,0.0005075,0.0005075,0.0005075
62,10355.8,0.84797,0.63843,0.95051,0.86716,0.8005,0.87886,0.68697,0.8295,0.65973,0.95637,0.000495125,0.000495125,0.000495125
63,10512.1,0.82849,0.63271,0.94588,0.87049,0.79844,0.88102,0.69227,0.82092,0.64685,0.95336,0.00048275,0.00048275,0.00048275
64,10668.7,0.83372,0.63192,0.9455,0.85968,0.80542,0.87883,0.68983,0.83407,0.64604,0.95771,0.000470375,0.000470375,0.000470375
65,10822.8,0.8239,0.61732,0.94342,0.87287,0.80479,0.88377,0.69367,0.82013,0.63408,0.95533,0.000458,0.000458,0.000458
66,10977.6,0.82435,0.62112,0.94425,0.87656,0.80106,0.88125,0.68905,0.83657,0.64964,0.96207,0.000445625,0.000445625,0.000445625
67,11132.5,0.8193,0.61293,0.9423,0.87166,0.79348,0.8793,0.69076,0.82792,0.64636,0.96016,0.00043325,0.00043325,0.00043325
68,11286.2,0.82092,0.61496,0.93921,0.85959,0.80713,0.8844,0.69521,0.8327,0.64093,0.96311,0.000420875,0.000420875,0.000420875
